DATE,PAYEMS_CHG_20220107,PAYEMS_CHG_20210205,PAYEMS_CHG_20210305,PAYEMS_CHG_20210402,PAYEMS_CHG_20210507,PAYEMS_CHG_20210604,PAYEMS_CHG_20210702,PAYEMS_CHG_20210806,PAYEMS_CHG_20210903,PAYEMS_CHG_20211008,PAYEMS_CHG_20211105,PAYEMS_CHG_20211203
1939-02-01,177,177,177,177,177,177,177,177,177,177,177,177
1939-03-01,180,180,180,180,180,180,180,180,180,180,180,180
1939-04-01,-186,-186,-186,-186,-186,-186,-186,-186,-186,-186,-186,-186
1939-05-01,205,205,205,205,205,205,205,205,205,205,205,205
1939-06-01,203,203,203,203,203,203,203,203,203,203,203,203
1939-07-01,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83
1939-08-01,244,244,244,244,244,244,244,244,244,244,244,244
1939-09-01,368,368,368,368,368,368,368,368,368,368,368,368
1939-10-01,380,380,380,380,380,380,380,380,380,380,380,380
1939-11-01,59,59,59,59,59,59,59,59,59,59,59,59
1939-12-01,72,72,72,72,72,72,72,72,72,72,72,72
1940-01-01,61,61,61,61,61,61,61,61,61,61,61,61
1940-02-01,112,112,112,112,112,112,112,112,112,112,112,112
1940-03-01,110,110,110,110,110,110,110,110,110,110,110,110
1940-04-01,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124
1940-05-01,178,178,178,178,178,178,178,178,178,178,178,178
1940-06-01,98,98,98,98,98,98,98,98,98,98,98,98
1940-07-01,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
1940-08-01,410,410,410,410,410,410,410,410,410,410,410,410
1940-09-01,458,458,458,458,458,458,458,458,458,458,458,458
1940-10-01,457,457,457,457,457,457,457,457,457,457,457,457
1940-11-01,402,402,402,402,402,402,402,402,402,402,402,402
1940-12-01,505,505,505,505,505,505,505,505,505,505,505,505
1941-01-01,307,307,307,307,307,307,307,307,307,307,307,307
1941-02-01,362,362,362,362,362,362,362,362,362,362,362,362
1941-03-01,249,249,249,249,249,249,249,249,249,249,249,249
1941-04-01,376,376,376,376,376,376,376,376,376,376,376,376
1941-05-01,714,714,714,714,714,714,714,714,714,714,714,714
1941-06-01,468,468,468,468,468,468,468,468,468,468,468,468
1941-07-01,487,487,487,487,487,487,487,487,487,487,487,487
1941-08-01,407,407,407,407,407,407,407,407,407,407,407,407
1941-09-01,291,291,291,291,291,291,291,291,291,291,291,291
1941-10-01,114,114,114,114,114,114,114,114,114,114,114,114
1941-11-01,75,75,75,75,75,75,75,75,75,75,75,75
1941-12-01,80,80,80,80,80,80,80,80,80,80,80,80
1942-01-01,243,243,243,243,243,243,243,243,243,243,243,243
1942-02-01,165,165,165,165,165,165,165,165,165,165,165,165
1942-03-01,423,423,423,423,423,423,423,423,423,423,423,423
1942-04-01,417,417,417,417,417,417,417,417,417,417,417,417
1942-05-01,419,419,419,419,419,419,419,419,419,419,419,419
1942-06-01,258,258,258,258,258,258,258,258,258,258,258,258
1942-07-01,443,443,443,443,443,443,443,443,443,443,443,443
1942-08-01,516,516,516,516,516,516,516,516,516,516,516,516
1942-09-01,271,271,271,271,271,271,271,271,271,271,271,271
1942-10-01,256,256,256,256,256,256,256,256,256,256,256,256
1942-11-01,159,159,159,159,159,159,159,159,159,159,159,159
1942-12-01,241,241,241,241,241,241,241,241,241,241,241,241
1943-01-01,257,257,257,257,257,257,257,257,257,257,257,257
1943-02-01,221,221,221,221,221,221,221,221,221,221,221,221
1943-03-01,159,159,159,159,159,159,159,159,159,159,159,159
1943-04-01,95,95,95,95,95,95,95,95,95,95,95,95
1943-05-01,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51
1943-06-01,185,185,185,185,185,185,185,185,185,185,185,185
1943-07-01,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81,-81
1943-08-01,-154,-154,-154,-154,-154,-154,-154,-154,-154,-154,-154,-154
1943-09-01,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54
1943-10-01,183,183,183,183,183,183,183,183,183,183,183,183
1943-11-01,146,146,146,146,146,146,146,146,146,146,146,146
1943-12-01,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75
1944-01-01,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92,-92
1944-02-01,-116,-116,-116,-116,-116,-116,-116,-116,-116,-116,-116,-116
1944-03-01,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244
1944-04-01,-231,-231,-231,-231,-231,-231,-231,-231,-231,-231,-231,-231
1944-05-01,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78,-78
1944-06-01,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38,-38
1944-07-01,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43,-43
1944-08-01,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54
1944-09-01,-171,-171,-171,-171,-171,-171,-171,-171,-171,-171,-171,-171
1944-10-01,29,29,29,29,29,29,29,29,29,29,29,29
1944-11-01,3,3,3,3,3,3,3,3,3,3,3,3
1944-12-01,149,149,149,149,149,149,149,149,149,149,149,149
1945-01-01,35,35,35,35,35,35,35,35,35,35,35,35
1945-02-01,2,2,2,2,2,2,2,2,2,2,2,2
1945-03-01,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1945-04-01,-352,-352,-352,-352,-352,-352,-352,-352,-352,-352,-352,-352
1945-05-01,-142,-142,-142,-142,-142,-142,-142,-142,-142,-142,-142,-142
1945-06-01,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155,-155
1945-07-01,-275,-275,-275,-275,-275,-275,-275,-275,-275,-275,-275,-275
1945-08-01,-408,-408,-408,-408,-408,-408,-408,-408,-408,-408,-408,-408
1945-09-01,-1959,-1959,-1959,-1959,-1959,-1959,-1959,-1959,-1959,-1959,-1959,-1959
1945-10-01,93,93,93,93,93,93,93,93,93,93,93,93
1945-11-01,396,396,396,396,396,396,396,396,396,396,396,396
1945-12-01,114,114,114,114,114,114,114,114,114,114,114,114
1946-01-01,719,719,719,719,719,719,719,719,719,719,719,719
1946-02-01,-585,-585,-585,-585,-585,-585,-585,-585,-585,-585,-585,-585
1946-03-01,951,951,951,951,951,951,951,951,951,951,951,951
1946-04-01,718,718,718,718,718,718,718,718,718,718,718,718
1946-05-01,436,436,436,436,436,436,436,436,436,436,436,436
1946-06-01,386,386,386,386,386,386,386,386,386,386,386,386
1946-07-01,418,418,418,418,418,418,418,418,418,418,418,418
1946-08-01,489,489,489,489,489,489,489,489,489,489,489,489
1946-09-01,273,273,273,273,273,273,273,273,273,273,273,273
1946-10-01,178,178,178,178,178,178,178,178,178,178,178,178
1946-11-01,302,302,302,302,302,302,302,302,302,302,302,302
1946-12-01,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16,-16
1947-01-01,156,156,156,156,156,156,156,156,156,156,156,156
1947-02-01,22,22,22,22,22,22,22,22,22,22,22,22
1947-03-01,50,50,50,50,50,50,50,50,50,50,50,50
