DATE,OUTMS
1987-01-01,61.972
1987-04-01,62.957
1987-07-01,63.952
1987-10-01,65.463
1988-01-01,65.556
1988-04-01,66.104
1988-07-01,66.196
1988-10-01,67.001
1989-01-01,67.621
1989-04-01,67.235
1989-07-01,66.695
1989-10-01,66.609
1990-01-01,67.084
1990-04-01,67.394
1990-07-01,67.492
1990-10-01,66.330
1991-01-01,64.874
1991-04-01,65.260
1991-07-01,66.510
1991-10-01,66.784
1992-01-01,66.922
1992-04-01,68.336
1992-07-01,69.098
1992-10-01,69.685
1993-01-01,70.487
1993-04-01,70.722
1993-07-01,70.863
1993-10-01,72.092
1994-01-01,72.871
1994-04-01,74.510
1994-07-01,75.540
1994-10-01,77.251
1995-01-01,77.942
1995-04-01,77.896
1995-07-01,78.354
1995-10-01,78.999
1996-01-01,79.167
1996-04-01,80.869
1996-07-01,82.205
1996-10-01,83.139
1997-01-01,84.761
1997-04-01,85.899
1997-07-01,87.718
1997-10-01,89.730
1998-01-01,90.587
1998-04-01,90.560
1998-07-01,90.967
1998-10-01,92.530
1999-01-01,93.677
1999-04-01,94.587
1999-07-01,95.078
1999-10-01,96.698
2000-01-01,97.400
2000-04-01,98.235
2000-07-01,97.765
2000-10-01,96.784
2001-01-01,95.080
2001-04-01,93.530
2001-07-01,91.958
2001-10-01,91.100
2002-01-01,92.268
2002-04-01,93.847
2002-07-01,94.685
2002-10-01,94.561
2003-01-01,94.985
2003-04-01,94.412
2003-07-01,94.972
2003-10-01,95.855
2004-01-01,96.243
2004-04-01,96.804
2004-07-01,97.592
2004-10-01,99.021
2005-01-01,100.626
2005-04-01,101.186
2005-07-01,100.869
2005-10-01,102.159
2006-01-01,102.732
2006-04-01,102.624
2006-07-01,102.878
2006-10-01,103.254
2007-01-01,104.521
2007-04-01,106.029
2007-07-01,106.254
2007-10-01,106.704
2008-01-01,105.984
2008-04-01,103.811
2008-07-01,100.127
2008-10-01,94.397
2009-01-01,88.445
2009-04-01,86.522
2009-07-01,88.802
2009-10-01,90.499
2010-01-01,92.200
2010-04-01,94.724
2010-07-01,95.854
2010-10-01,96.330
2011-01-01,97.215
2011-04-01,97.052
2011-07-01,97.745
2011-10-01,98.180
2012-01-01,98.856
2012-04-01,98.687
2012-07-01,98.383
2012-10-01,98.858
2013-01-01,100.044
2013-04-01,100.423
2013-07-01,100.583
2013-10-01,101.119
2014-01-01,100.776
2014-04-01,101.864
2014-07-01,102.094
2014-10-01,102.019
2015-01-01,100.793
2015-04-01,100.432
2015-07-01,100.607
2015-10-01,100.100
2016-01-01,100.310
2016-04-01,100.181
2016-07-01,100.144
2016-10-01,100.033
2017-01-01,99.617
2017-04-01,100.157
2017-07-01,99.532
2017-10-01,100.694
2018-01-01,101.132
2018-04-01,102.037
2018-07-01,102.573
2018-10-01,102.158
2019-01-01,100.852
2019-04-01,99.958
2019-07-01,99.682
2019-10-01,99.112
2020-01-01,97.558
2020-04-01,84.527
2020-07-01,94.069
2020-10-01,95.859
2021-01-01,95.846
2021-04-01,97.254
2021-07-01,97.913
2021-10-01,99.179
2022-01-01,99.830
2022-04-01,100.496
2022-07-01,100.555
2022-10-01,99.747
2023-01-01,99.867
2023-04-01,99.934
2023-07-01,99.835
2023-10-01,99.497
2024-01-01,99.269
2024-04-01,99.867
