Date,Rate,Change
1/3/05,2.2500,
1/4/05,2.2500,0.0000
1/5/05,2.2500,0.0000
1/6/05,2.2500,0.0000
1/7/05,2.2500,0.0000
1/10/05,2.2500,0.0000
1/11/05,2.2500,0.0000
1/12/05,2.2500,0.0000
1/13/05,2.2500,0.0000
1/14/05,2.2500,0.0000
1/17/05,2.2500,0.0000
1/18/05,2.2500,0.0000
1/19/05,2.2500,0.0000
1/20/05,2.2500,0.0000
1/21/05,2.2500,0.0000
1/24/05,2.2500,0.0000
1/25/05,2.2500,0.0000
1/26/05,2.2500,0.0000
1/27/05,2.2500,0.0000
1/28/05,2.2500,0.0000
1/31/05,2.2500,0.0000
2/1/05,2.2500,0.0000
2/2/05,2.5000,0.2500
2/3/05,2.5000,0.0000
2/4/05,2.5000,0.0000
2/7/05,2.5000,0.0000
2/8/05,2.5000,0.0000
2/9/05,2.5000,0.0000
2/10/05,2.5000,0.0000
2/11/05,2.5000,0.0000
2/14/05,2.5000,0.0000
2/15/05,2.5000,0.0000
2/16/05,2.5000,0.0000
2/17/05,2.5000,0.0000
2/18/05,2.5000,0.0000
2/21/05,2.5000,0.0000
2/22/05,2.5000,0.0000
2/23/05,2.5000,0.0000
2/24/05,2.5000,0.0000
2/25/05,2.5000,0.0000
2/28/05,2.5000,0.0000
3/1/05,2.5000,0.0000
3/2/05,2.5000,0.0000
3/3/05,2.5000,0.0000
3/4/05,2.5000,0.0000
3/7/05,2.5000,0.0000
3/8/05,2.5000,0.0000
3/9/05,2.5000,0.0000
3/10/05,2.5000,0.0000
3/11/05,2.5000,0.0000
3/14/05,2.5000,0.0000
3/15/05,2.5000,0.0000
3/16/05,2.5000,0.0000
3/17/05,2.5000,0.0000
3/18/05,2.5000,0.0000
3/21/05,2.5000,0.0000
3/22/05,2.7500,0.2500
3/23/05,2.7500,0.0000
3/24/05,2.7500,0.0000
3/25/05,2.7500,0.0000
3/28/05,2.7500,0.0000
3/29/05,2.7500,0.0000
3/30/05,2.7500,0.0000
3/31/05,2.7500,0.0000
4/1/05,2.7500,0.0000
4/4/05,2.7500,0.0000
4/5/05,2.7500,0.0000
4/6/05,2.7500,0.0000
4/7/05,2.7500,0.0000
4/8/05,2.7500,0.0000
4/11/05,2.7500,0.0000
4/12/05,2.7500,0.0000
4/13/05,2.7500,0.0000
4/14/05,2.7500,0.0000
4/15/05,2.7500,0.0000
4/18/05,2.7500,0.0000
4/19/05,2.7500,0.0000
4/20/05,2.7500,0.0000
4/21/05,2.7500,0.0000
4/22/05,2.7500,0.0000
4/25/05,2.7500,0.0000
4/26/05,2.7500,0.0000
4/27/05,2.7500,0.0000
4/28/05,2.7500,0.0000
4/29/05,2.7500,0.0000
5/2/05,2.7500,0.0000
5/3/05,3.0000,0.2500
5/4/05,3.0000,0.0000
5/5/05,3.0000,0.0000
5/6/05,3.0000,0.0000
5/9/05,3.0000,0.0000
5/10/05,3.0000,0.0000
5/11/05,3.0000,0.0000
5/12/05,3.0000,0.0000
5/13/05,3.0000,0.0000
5/16/05,3.0000,0.0000
5/17/05,3.0000,0.0000
5/18/05,3.0000,0.0000
5/19/05,3.0000,0.0000
5/20/05,3.0000,0.0000
5/23/05,3.0000,0.0000
5/24/05,3.0000,0.0000
5/25/05,3.0000,0.0000
5/26/05,3.0000,0.0000
5/27/05,3.0000,0.0000
5/30/05,3.0000,0.0000
5/31/05,3.0000,0.0000
6/1/05,3.0000,0.0000
6/2/05,3.0000,0.0000
6/3/05,3.0000,0.0000
6/6/05,3.0000,0.0000
6/7/05,3.0000,0.0000
6/8/05,3.0000,0.0000
6/9/05,3.0000,0.0000
6/10/05,3.0000,0.0000
6/13/05,3.0000,0.0000
6/14/05,3.0000,0.0000
6/15/05,3.0000,0.0000
6/16/05,3.0000,0.0000
6/17/05,3.0000,0.0000
6/20/05,3.0000,0.0000
6/21/05,3.0000,0.0000
6/22/05,3.0000,0.0000
6/23/05,3.0000,0.0000
6/24/05,3.0000,0.0000
6/27/05,3.0000,0.0000
6/28/05,3.0000,0.0000
6/29/05,3.0000,0.0000
6/30/05,3.2500,0.2500
7/1/05,3.2500,0.0000
7/4/05,3.2500,0.0000
7/5/05,3.2500,0.0000
7/6/05,3.2500,0.0000
7/7/05,3.2500,0.0000
7/8/05,3.2500,0.0000
7/11/05,3.2500,0.0000
7/12/05,3.2500,0.0000
7/13/05,3.2500,0.0000
7/14/05,3.2500,0.0000
7/15/05,3.2500,0.0000
7/18/05,3.2500,0.0000
7/19/05,3.2500,0.0000
7/20/05,3.2500,0.0000
7/21/05,3.2500,0.0000
7/22/05,3.2500,0.0000
7/25/05,3.2500,0.0000
7/26/05,3.2500,0.0000
7/27/05,3.2500,0.0000
7/28/05,3.2500,0.0000
7/29/05,3.2500,0.0000
8/1/05,3.2500,0.0000
8/2/05,3.2500,0.0000
8/3/05,3.2500,0.0000
8/4/05,3.2500,0.0000
8/5/05,3.2500,0.0000
8/8/05,3.2500,0.0000
8/9/05,3.5000,0.2500
8/10/05,3.5000,0.0000
8/11/05,3.5000,0.0000
8/12/05,3.5000,0.0000
8/15/05,3.5000,0.0000
8/16/05,3.5000,0.0000
8/17/05,3.5000,0.0000
8/18/05,3.5000,0.0000
8/19/05,3.5000,0.0000
8/22/05,3.5000,0.0000
8/23/05,3.5000,0.0000
8/24/05,3.5000,0.0000
8/25/05,3.5000,0.0000
8/26/05,3.5000,0.0000
8/29/05,3.5000,0.0000
8/30/05,3.5000,0.0000
8/31/05,3.5000,0.0000
9/1/05,3.5000,0.0000
9/2/05,3.5000,0.0000
9/5/05,3.5000,0.0000
9/6/05,3.5000,0.0000
9/7/05,3.5000,0.0000
9/8/05,3.5000,0.0000
9/9/05,3.5000,0.0000
9/12/05,3.5000,0.0000
9/13/05,3.5000,0.0000
9/14/05,3.5000,0.0000
9/15/05,3.5000,0.0000
9/16/05,3.5000,0.0000
9/19/05,3.5000,0.0000
9/20/05,3.7500,0.2500
9/21/05,3.7500,0.0000
9/22/05,3.7500,0.0000
9/23/05,3.7500,0.0000
9/26/05,3.7500,0.0000
9/27/05,3.7500,0.0000
9/28/05,3.7500,0.0000
9/29/05,3.7500,0.0000
9/30/05,3.7500,0.0000
10/3/05,3.7500,0.0000
10/4/05,3.7500,0.0000
10/5/05,3.7500,0.0000
10/6/05,3.7500,0.0000
10/7/05,3.7500,0.0000
10/10/05,3.7500,0.0000
10/11/05,3.7500,0.0000
10/12/05,3.7500,0.0000
10/13/05,3.7500,0.0000
10/14/05,3.7500,0.0000
10/17/05,3.7500,0.0000
10/18/05,3.7500,0.0000
10/19/05,3.7500,0.0000
10/20/05,3.7500,0.0000
10/21/05,3.7500,0.0000
10/24/05,3.7500,0.0000
10/25/05,3.7500,0.0000
10/26/05,3.7500,0.0000
10/27/05,3.7500,0.0000
10/28/05,3.7500,0.0000
10/31/05,3.7500,0.0000
11/1/05,4.0000,0.2500
11/2/05,4.0000,0.0000
11/3/05,4.0000,0.0000
11/4/05,4.0000,0.0000
11/7/05,4.0000,0.0000
11/8/05,4.0000,0.0000
11/9/05,4.0000,0.0000
11/10/05,4.0000,0.0000
11/11/05,4.0000,0.0000
11/14/05,4.0000,0.0000
11/15/05,4.0000,0.0000
11/16/05,4.0000,0.0000
11/17/05,4.0000,0.0000
11/18/05,4.0000,0.0000
11/21/05,4.0000,0.0000
11/22/05,4.0000,0.0000
11/23/05,4.0000,0.0000
11/24/05,4.0000,0.0000
11/25/05,4.0000,0.0000
11/28/05,4.0000,0.0000
11/29/05,4.0000,0.0000
11/30/05,4.0000,0.0000
12/1/05,4.0000,0.0000
12/2/05,4.0000,0.0000
12/5/05,4.0000,0.0000
12/6/05,4.0000,0.0000
12/7/05,4.0000,0.0000
12/8/05,4.0000,0.0000
12/9/05,4.0000,0.0000
12/12/05,4.0000,0.0000
12/13/05,4.2500,0.2500
12/14/05,4.2500,0.0000
12/15/05,4.2500,0.0000
12/16/05,4.2500,0.0000
12/19/05,4.2500,0.0000
12/20/05,4.2500,0.0000
12/21/05,4.2500,0.0000
12/22/05,4.2500,0.0000
12/23/05,4.2500,0.0000
12/26/05,4.2500,0.0000
12/27/05,4.2500,0.0000
12/28/05,4.2500,0.0000
12/29/05,4.2500,0.0000
12/30/05,4.2500,0.0000
1/2/06,4.2500,0.0000
1/3/06,4.2500,0.0000
1/4/06,4.2500,0.0000
1/5/06,4.2500,0.0000
1/6/06,4.2500,0.0000
1/9/06,4.2500,0.0000
1/10/06,4.2500,0.0000
1/11/06,4.2500,0.0000
1/12/06,4.2500,0.0000
1/13/06,4.2500,0.0000
1/16/06,4.2500,0.0000
1/17/06,4.2500,0.0000
1/18/06,4.2500,0.0000
1/19/06,4.2500,0.0000
1/20/06,4.2500,0.0000
1/23/06,4.2500,0.0000
1/24/06,4.2500,0.0000
1/25/06,4.2500,0.0000
1/26/06,4.2500,0.0000
1/27/06,4.2500,0.0000
1/30/06,4.2500,0.0000
1/31/06,4.5000,0.2500
2/1/06,4.5000,0.0000
2/2/06,4.5000,0.0000
2/3/06,4.5000,0.0000
2/6/06,4.5000,0.0000
2/7/06,4.5000,0.0000
2/8/06,4.5000,0.0000
2/9/06,4.5000,0.0000
2/10/06,4.5000,0.0000
2/13/06,4.5000,0.0000
2/14/06,4.5000,0.0000
2/15/06,4.5000,0.0000
2/16/06,4.5000,0.0000
2/17/06,4.5000,0.0000
2/20/06,4.5000,0.0000
2/21/06,4.5000,0.0000
2/22/06,4.5000,0.0000
2/23/06,4.5000,0.0000
2/24/06,4.5000,0.0000
2/27/06,4.5000,0.0000
2/28/06,4.5000,0.0000
3/1/06,4.5000,0.0000
3/2/06,4.5000,0.0000
3/3/06,4.5000,0.0000
3/6/06,4.5000,0.0000
3/7/06,4.5000,0.0000
3/8/06,4.5000,0.0000
3/9/06,4.5000,0.0000
3/10/06,4.5000,0.0000
3/13/06,4.5000,0.0000
3/14/06,4.5000,0.0000
3/15/06,4.5000,0.0000
3/16/06,4.5000,0.0000
3/17/06,4.5000,0.0000
3/20/06,4.5000,0.0000
3/21/06,4.5000,0.0000
3/22/06,4.5000,0.0000
3/23/06,4.5000,0.0000
3/24/06,4.5000,0.0000
3/27/06,4.5000,0.0000
3/28/06,4.7500,0.2500
3/29/06,4.7500,0.0000
3/30/06,4.7500,0.0000
3/31/06,4.7500,0.0000
4/3/06,4.7500,0.0000
4/4/06,4.7500,0.0000
4/5/06,4.7500,0.0000
4/6/06,4.7500,0.0000
4/7/06,4.7500,0.0000
4/10/06,4.7500,0.0000
4/11/06,4.7500,0.0000
4/12/06,4.7500,0.0000
4/13/06,4.7500,0.0000
4/14/06,4.7500,0.0000
4/17/06,4.7500,0.0000
4/18/06,4.7500,0.0000
4/19/06,4.7500,0.0000
4/20/06,4.7500,0.0000
4/21/06,4.7500,0.0000
4/24/06,4.7500,0.0000
4/25/06,4.7500,0.0000
4/26/06,4.7500,0.0000
4/27/06,4.7500,0.0000
4/28/06,4.7500,0.0000
5/1/06,4.7500,0.0000
5/2/06,4.7500,0.0000
5/3/06,4.7500,0.0000
5/4/06,4.7500,0.0000
5/5/06,4.7500,0.0000
5/8/06,4.7500,0.0000
5/9/06,4.7500,0.0000
5/10/06,5.0000,0.2500
5/11/06,5.0000,0.0000
