Date,Millions
1/1/2007, 34.35
2/1/2007, 34.868
3/1/2007, 34.921
4/1/2007, 35.042
5/1/2007, 35.186
6/1/2007, 34.953
7/1/2007, 35.021
8/1/2007, 34.832
9/1/2007, 35.312
10/1/2007, 35.478
11/1/2007, 35.164
12/1/2007, 35.078
1/1/2008, 35.093
2/1/2008, 35.098
3/1/2008, 34.998
4/1/2008, 35.302
5/1/2008, 35.014
6/1/2008, 35.613
7/1/2008, 35.64
8/1/2008, 35.19
9/1/2008, 35.66
10/1/2008, 35.462
11/1/2008, 35.427
12/1/2008, 35.306
1/1/2009, 35.007
2/1/2009, 34.714
3/1/2009, 34.675
4/1/2009, 35.039
5/1/2009, 34.761
6/1/2009, 35.258
7/1/2009, 35.216
8/1/2009, 35.312
9/1/2009, 35.527
10/1/2009, 35.552
11/1/2009, 35.956
12/1/2009, 35.575
1/1/2010, 35.44
2/1/2010, 35.315
3/1/2010, 34.991
4/1/2010, 34.996
5/1/2010, 35.647
6/1/2010, 36.155
7/1/2010, 36.207
8/1/2010, 36.347
9/1/2010, 36.097
10/1/2010, 36.341
11/1/2010, 36.35
12/1/2010, 36.545
1/1/2011, 36.294
2/1/2011, 36.026
3/1/2011, 35.996
4/1/2011, 35.737
5/1/2011, 36.348
6/1/2011, 36.323
7/1/2011, 36.576
8/1/2011, 36.531
9/1/2011, 36.657
10/1/2011, 37.001
11/1/2011, 36.705
12/1/2011, 36.851
1/1/2012, 37.593
2/1/2012, 37.463
3/1/2012, 37.664
4/1/2012, 37.215
5/1/2012, 37.504
6/1/2012, 37.315
7/1/2012, 37.627
8/1/2012, 37.847
9/1/2012, 38.103
10/1/2012, 38.288
11/1/2012, 38.105
12/1/2012, 37.999
1/1/2013, 37.952
2/1/2013, 37.858
3/1/2013, 38.106
4/1/2013, 37.842
5/1/2013, 37.503
6/1/2013, 37.658
7/1/2013, 37.941
8/1/2013, 38.197
9/1/2013, 38.854
10/1/2013, 38.816
11/1/2013, 38.737
12/1/2013, 38.481
1/1/2014, 38.165
2/1/2014, 38.188
3/1/2014, 38.557
4/1/2014, 38.391
5/1/2014, 38.637
6/1/2014, 38.787
7/1/2014, 38.475
8/1/2014, 39.289
9/1/2014, 39.86
10/1/2014, 39.696
11/1/2014, 40.027
12/1/2014, 39.896
1/1/2015, 39.967
2/1/2015, 40.3
3/1/2015, 40.198
4/1/2015, 39.997
5/1/2015, 40.38
6/1/2015, 40.342
7/1/2015, 40.135
8/1/2015, 40.29
9/1/2015, 40.314
10/1/2015, 40.074
11/1/2015, 40.353
12/1/2015, 40.737
1/1/2016, 41.028
2/1/2016, 40.96
3/1/2016, 41.148
4/1/2016, 40.797
5/1/2016, 40.693
6/1/2016, 41.055
7/1/2016, 41.311
8/1/2016, 41.768
9/1/2016, 41.785
10/1/2016, 41.785
11/1/2016, 41.898
12/1/2016, 41.623
1/1/2017, 41.379
2/1/2017, 41.137
3/1/2017, 41.204
4/1/2017, 41.567
5/1/2017, 41.39
6/1/2017, 41.552
7/1/2017, 41.452
8/1/2017, 41.63
9/1/2017, 41.642
10/1/2017, 41.668
11/1/2017, 41.834
12/1/2017, 41.546
1/1/2018, 42.625
2/1/2018, 42.955
3/1/2018, 43.358
4/1/2018, 43.164
5/1/2018, 42.732
6/1/2018, 42.514
7/1/2018, 42.279
8/1/2018, 42.695
9/1/2018, 43.112
10/1/2018, 43.051
11/1/2018, 43.31
12/1/2018, 42.985
1/1/2019, 42.909
2/1/2019, 43.455
3/1/2019, 43.562
4/1/2019, 43.527
5/1/2019, 43.408
6/1/2019, 43.216
7/1/2019, 42.715
8/1/2019, 42.764
9/1/2019, 42.685
10/1/2019, 42.326
11/1/2019, 42.876
12/1/2019, 42.438
1/1/2020, 42.362
2/1/2020, 42.956
3/1/2020, 42.323
4/1/2020, 42.504
5/1/2020, 42.496
6/1/2020, 42.198
7/1/2020, 42.079
8/1/2020, 42.041
9/1/2020, 41.81
10/1/2020, 41.891
11/1/2020, 42.73
12/1/2020, 42.947
1/1/2021, 43.086
2/1/2021, 43.373
3/1/2021, 43.059
4/1/2021, 43.046
5/1/2021, 42.869
6/1/2021, 42.796
7/1/2021, 42.818
8/1/2021, 42.89
9/1/2021, 43.111
10/1/2021, 43.449
11/1/2021, 44.048
12/1/2021, 44.172
1/1/2022, 44.624
2/1/2022, 44.718
3/1/2022, 44.456
4/1/2022, 45.016
5/1/2022, 45.23
6/1/2022, 44.854
7/1/2022, 44.856
8/1/2022, 44.86
9/1/2022, 45.351
10/1/2022, 45.908
11/1/2022, 46.19
12/1/2022, 45.736
1/1/2023, 45.899
2/1/2023, 46.47
3/1/2023, 46.445
4/1/2023, 46.328
5/1/2023, 46.769
6/1/2023, 45.873
7/1/2023, 46.107
8/1/2023, 46.818
9/1/2023, 46.707
10/1/2023, 46.936
11/1/2023, 47.412
12/1/2023, 48.049
1/1/2024, 47.544
2/1/2024, 48.81
3/1/2024, 49.034
4/1/2024, 48.089
5/1/2024, 48.311
6/1/2024, 48.099
7/1/2024, 48.327
8/1/2024, 48.853
