Year,ForeignBornMen,NativeBornMen,ForeignBornWomen,NativeBornWomen
2005, 81.3, 71.9, 54.1, 60.1
2006, 81.7, 72.0, 55.3, 60.0
2007, 81.9, 71.6, 54.9, 60.1
2008, 81.4, 71.4, 54.8, 60.3
2009, 80.5, 70.4, 55.4, 59.8
2010, 80.1, 69.5, 55.7, 59.1
2011, 79.5, 68.8, 54.6, 58.7
2012, 78.5, 68.6, 54.8, 58.2
2013, 78.8, 68.0, 54.6, 57.7
2014, 78.7, 67.4, 53.9, 57.5
2015, 78.2, 67.3, 52.9, 57.4
2016, 77.8, 67.5, 53.4, 57.5
2017, 78.1, 67.3, 54.5, 57.5
2018, 77.9, 67.3, 54.3, 57.6
2019, 78.0, 67.4, 54.8, 57.9
2020, 76.6, 65.9, 53.2, 56.8
2021, 76.8, 65.8, 53.4, 56.6
2022, 77.4, 66.0, 55.0, 57.2
2023, 77.5, 66.1, 56.1, 57.6
